N_BOLETIM,N_ENVOLVIDO,COD_SEVERIDADE,DESC_SEVERIDADE,SEXO,CINTO_SEGURANCA,EMBREAGUES,IDADE,CATEGORIA_HABILITACAO,DESCRICAO_HABILITACAO,ESPECIE_VEICULO
2017012299194001,2,1,NAOFATAL,F,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012306969001,2,1,NAOFATAL,M,SIM,NAO,22,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012310127001,2,3,SEMFERIMENTOS,0,NAO,NAOINFORMADO,0,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012317956001,1,1,NAOFATAL,M,SIM,NAO,40,IN,INABILITADO,MOTOCICLETA
2017012324594001,2,1,NAOFATAL,M,NAO,NAO,69,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012329017001,2,1,NAOFATAL,M,NAO,NAO,12,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012329829001,2,1,NAOFATAL,M,SIM,NAO,0,N,NAOINFORMADO,MOTOCICLETA
2017012331568001,1,1,NAOFATAL,M,SIM,NAO,38,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017012335813001,2,2,FATAL,F,SIM,NAO,57,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012340180001,1,1,NAOFATAL,F,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012342464001,1,3,SEMFERIMENTOS,M,SIM,NAO,28,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012343497001,1,1,NAOFATAL,M,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012345323001,1,1,NAOFATAL,M,SIM,NAO,42,AD,HABILITADONASCATEGORIASAeD,AUTOMOVEL
2017012367035001,2,3,SEMFERIMENTOS,0,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017012367299001,3,3,SEMFERIMENTOS,M,SIM,NAO,44,AD,HABILITADONASCATEGORIASAeD,MICROONIBUS
2017012371529001,2,1,NAOFATAL,M,SIM,NAO,37,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012379174001,2,1,NAOFATAL,M,SIM,NAO,32,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012383248001,1,3,SEMFERIMENTOS,M,SIM,NAO,56,AD,HABILITADONASCATEGORIASAeD,CAMINHAO
2017012383759001,2,1,NAOFATAL,M,SIM,NAO,69,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017012383774001,2,0,NAOINFORMADO,0,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017012387731001,1,1,NAOFATAL,M,SIM,NAO,40,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012394116001,1,1,NAOFATAL,M,SIM,NAO,26,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012400024001,1,1,NAOFATAL,M,SIM,NAO,44,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017012408531001,2,3,SEMFERIMENTOS,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012417874001,1,1,NAOFATAL,M,SIM,NAO,20,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012427027001,2,1,NAOFATAL,F,NAO,NAO,61,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012437113001,2,1,NAOFATAL,M,SIM,NAO,35,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012439818001,3,3,SEMFERIMENTOS,F,SIM,NAO,39,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012440840001,2,1,NAOFATAL,M,SIM,NAO,41,AE,HABILITADONASCATEGORIASAeE,MOTOCICLETA
2017012441297001,1,3,SEMFERIMENTOS,M,SIM,NAO,53,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012443543001,1,1,NAOFATAL,M,SIM,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012448139001,2,1,NAOFATAL,F,NAO,NAO,29,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012461470001,2,1,NAOFATAL,F,SIM,NAO,67,AB,HABILITADONASCATEGORIASAeB,ONIBUS
2017012461911001,1,1,NAOFATAL,M,SIM,NAO,35,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012466695001,1,1,NAOFATAL,M,SIM,NAO,36,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012468638001,1,1,NAOFATAL,M,SIM,NAO,25,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012470850001,1,1,NAOFATAL,M,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012483730001,2,1,NAOFATAL,M,SIM,NAO,24,IN,INABILITADO,MOTOCICLETA
2017012488563001,1,3,SEMFERIMENTOS,M,SIM,NAO,29,AD,HABILITADONASCATEGORIASAeD,ONIBUS
2017012498465001,1,1,NAOFATAL,M,SIM,NAO,20,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012500284001,1,1,NAOFATAL,M,SIM,NAO,30,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012506188001,3,1,NAOFATAL,M,SIM,NAO,59,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012508315001,2,1,NAOFATAL,M,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012508419001,2,1,NAOFATAL,M,SIM,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012513963001,2,1,NAOFATAL,F,SIM,NAO,43,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012521866001,1,1,NAOFATAL,M,SIM,NAO,16,IN,INABILITADO,MOTOCICLETA
2017012522572001,1,1,NAOFATAL,M,SIM,SIM,32,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012532236001,2,1,NAOFATAL,M,SIM,SIM,20,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017012599992001,1,1,NAOFATAL,F,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012602719001,1,1,NAOFATAL,M,SIM,NAO,36,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012608848001,1,1,NAOFATAL,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012613210001,2,1,NAOFATAL,M,SIM,NAO,41,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012623608001,1,1,NAOFATAL,M,SIM,NAO,26,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017012631658001,1,1,NAOFATAL,M,SIM,NAO,47,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012633146001,2,1,NAOFATAL,M,SIM,NAO,31,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012636228001,2,1,NAOFATAL,M,SIM,NAO,40,AB,HABILITADONASCATEGORIASAeB,MOTONETA
2017012649872001,2,1,NAOFATAL,0,NAO,NAOINFORMADO,0,IN,INABILITADO,MOTOCICLETA
2017012656586001,1,3,SEMFERIMENTOS,M,SIM,NAO,34,AD,HABILITADONASCATEGORIASAeD,ONIBUS
2017012663744001,1,1,NAOFATAL,M,SIM,NAO,29,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012667545001,2,1,NAOFATAL,M,NAO,NAO,83,AB,NAOSEAPLICA,BICICLETA
2017012668602001,3,1,NAOFATAL,F,SIM,NAO,21,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012669230001,2,1,NAOFATAL,M,SIM,NAO,27,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012675407001,1,1,NAOFATAL,M,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012678783001,2,1,NAOFATAL,M,SIM,NAO,46,N,NAOINFORMADO,MOTOCICLETA
2017012571810001,1,1,NAOFATAL,M,SIM,NAO,26,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017012588977001,2,1,NAOFATAL,M,SIM,NAO,22,AD,HABILITADONASCATEGORIASAeD,MOTOCICLETA
2017012590606001,1,1,NAOFATAL,M,SIM,NAO,32,AB,HABILITADONASCATEGORIASAeB,MOTONETA
2017000424650001,1,1,NAOFATAL,M,NAO,NAO,28,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000431665001,1,1,NAOFATAL,F,NAO,NAO,23,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017000434095001,6,1,NAOFATAL,F,NAO,NAO,48,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017001880620001,1,1,NAOFATAL,M,SIM,NAO,53,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003332587001,1,1,NAOFATAL,M,SIM,NAO,48,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003335173001,1,1,NAOFATAL,M,SIM,NAO,30,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017003353097001,1,1,NAOFATAL,F,SIM,NAO,34,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004000601001,2,0,NAOINFORMADO,0,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017004009643001,1,3,SEMFERIMENTOS,M,SIM,NAO,48,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004027974001,1,1,NAOFATAL,M,SIM,NAO,35,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004028546001,1,3,SEMFERIMENTOS,M,SIM,NAO,60,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004038121001,2,1,NAOFATAL,M,SIM,NAO,33,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004047200001,1,3,SEMFERIMENTOS,M,SIM,NAO,58,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
2017004048982001,2,1,NAOFATAL,M,SIM,NAO,24,AB,HABILITADONASCATEGORIASAeB,MOTOCICLETA
2017004061401001,5,1,NAOFATAL,0,NAO,NAOINFORMADO,0,N,NAOINFORMADO,AUTOMOVEL
2017004068613001,2,3,SEMFERIMENTOS,F,NAO,NAOINFORMADO,0,AB,HABILITADONASCATEGORIASAeB,AUTOMOVEL
