N_BOLETIM,SEQ_VEIC,COD_CATEG,DESCRICAO_CATEG,COD_ESPECIE,DESCRICAO_ESPECIE,COD_SITUACAO,DESCRICAO_SITUACAO,TIPO_SOCORRO,DESC_TIPO_SOCORRO
2017012299194001,2,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012320690001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012324594001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012329017001,1,1,OFICIAL,12,CAMIONETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012333920001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017012336470001,1,0,NAOINFORMADO,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012343497001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012345323001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012359580001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012369833001,2,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012375962001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012377777002,1,0,NAOINFORMADO,8,ONIBUS,0,NAOINFORMADO,0,NAOINFORMADO
2017012402889001,1,3,PARTICULAR,13,CAMINHAO,1,EMMOVIMENTO,0,NAOINFORMADO
2017012412906001,1,0,NAOINFORMADO,4,MOTOCICLETA,0,NAOINFORMADO,0,NAOINFORMADO
2017012426900001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017012427027001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012440405001,1,4,ALUGUEL,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012440840001,2,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012443543001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012448139001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012457995001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012461470001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017012461911001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012466695001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012468638001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012471030001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012488403001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017012496284001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012498465001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012511977001,1,0,NAOINFORMADO,8,ONIBUS,0,NAOINFORMADO,0,NAOINFORMADO
2017012522572001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012524060001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012532236001,1,3,PARTICULAR,6,AUTOMOVEL,0,NAOINFORMADO,0,NAOINFORMADO
2017012543894001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012559661001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012591485001,1,0,NAOINFORMADO,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012598630001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012599992001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012602490001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012636228001,2,3,PARTICULAR,3,MOTONETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012646825001,1,0,NAOINFORMADO,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012649032001,1,0,NAOINFORMADO,0,NAOINFORMADO,1,EMMOVIMENTO,0,NAOINFORMADO
2017012669321001,1,0,NAOINFORMADO,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012675407001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012571810001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017012584574001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017012589536001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017012590606001,1,3,PARTICULAR,3,MOTONETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017000328940001,1,3,PARTICULAR,6,AUTOMOVEL,0,NAOINFORMADO,0,NAOINFORMADO
2017000339167001,1,3,PARTICULAR,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017000397054001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017000421500001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017000425523001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017000431665001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017001876991001,1,3,PARTICULAR,6,AUTOMOVEL,1,EMMOVIMENTO,0,NAOINFORMADO
2017001880620001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
2017001887700001,1,4,ALUGUEL,8,ONIBUS,1,EMMOVIMENTO,0,NAOINFORMADO
2017001888197001,1,3,PARTICULAR,4,MOTOCICLETA,1,EMMOVIMENTO,0,NAOINFORMADO
